Size;Process;Time
32;2;0.001855
64;2;0.002191
128;2;0.006078
256;2;0.036315
512;2;0.281255
1024;2;2.058920
2048;2;30.418788
32;4;0.003337
64;4;0.002770
128;4;0.005106
256;4;0.022682
512;4;0.149210
1024;4;1.116831
2048;4;15.268480
32;8;0.005721
64;8;0.004474
128;8;0.005104
256;8;0.020028
512;8;0.082952
1024;8;0.586022
2048;8;8.159335
32;16;0.041012
64;16;0.066878
128;16;0.046916
256;16;0.054336
512;16;0.158851
1024;16;0.792153
2048;16;9.408763
32;32;0.113109
64;32;0.099844
128;32;0.123907
256;32;0.086396
512;32;0.229085
1024;32;0.791098
2048;32;8.536455
32;2;0.000936
64;2;0.001420
128;2;0.005204
256;2;0.034073
512;2;0.265239
1024;2;2.109617
2048;2;30.164377
32;4;0.001764
64;4;0.002330
128;4;0.004479
256;4;0.020701
512;4;0.137021
1024;4;1.107579
2048;4;15.191447
32;8;0.006893
64;8;0.002855
128;8;0.006506
256;8;0.020836
512;8;0.086477
1024;8;0.607803
2048;8;7.979914
32;16;0.060559
64;16;0.046764
128;16;0.044100
256;16;0.035352
512;16;0.143059
1024;16;0.792436
2048;16;8.527133
32;32;0.124399
64;32;0.123746
128;32;0.112351
256;32;0.125382
512;32;0.223693
1024;32;0.829814
2048;32;8.658012
32;2;0.001085
64;2;0.001670
128;2;0.005547
256;2;0.034484
512;2;0.298667
1024;2;2.097423
2048;2;29.931336
32;4;0.002054
64;4;0.002131
128;4;0.004497
256;4;0.019902
512;4;0.147505
1024;4;1.095814
2048;4;15.401368
32;8;0.013404
64;8;0.006789
128;8;0.014282
256;8;0.020345
512;8;0.131284
1024;8;0.604185
2048;8;8.130088
32;16;0.046276
64;16;0.059815
128;16;0.044006
256;16;0.068487
512;16;0.166364
1024;16;0.799210
2048;16;9.389876
32;32;0.124257
64;32;0.126532
128;32;0.124551
256;32;0.109711
512;32;0.198720
1024;32;0.943983
2048;32;8.271206
32;2;0.001016
64;2;0.001439
128;2;0.005431
256;2;0.034127
512;2;0.262444
1024;2;2.115130
2048;2;29.893931
32;4;0.001741
64;4;0.002145
128;4;0.004287
256;4;0.021840
512;4;0.138897
1024;4;1.069936
2048;4;15.292136
32;8;0.021262
64;8;0.004686
128;8;0.005451
256;8;0.017308
512;8;0.083267
1024;8;0.583961
2048;8;7.831847
32;16;0.048845
64;16;0.047895
128;16;0.051185
256;16;0.062707
512;16;0.195004
1024;16;0.824651
2048;16;8.886254
32;32;0.112048
64;32;0.115795
128;32;0.111714
256;32;0.109908
512;32;0.275959
1024;32;0.874678
2048;32;8.502182
32;2;0.001025
64;2;0.001596
128;2;0.005552
256;2;0.033626
512;2;0.257718
1024;2;2.199966
2048;2;29.907484
32;4;0.002229
64;4;0.002056
128;4;0.004608
256;4;0.020452
512;4;0.137336
1024;4;1.097783
2048;4;15.289190
32;8;0.027908
64;8;0.011076
128;8;0.008599
256;8;0.019395
512;8;0.098412
1024;8;0.586442
2048;8;13.897775
32;16;0.038593
64;16;0.041838
128;16;0.048391
256;16;0.050852
512;16;0.138113
1024;16;0.794461
2048;16;8.947505
32;32;0.132139
64;32;0.105200
128;32;0.131839
256;32;0.156036
512;32;0.213209
1024;32;0.891594
2048;32;10.571010
32;2;0.001039
64;2;0.001599
128;2;0.005222
256;2;0.033811
512;2;0.279604
1024;2;2.118548
2048;2;29.846400
32;4;0.001658
64;4;0.002267
128;4;0.004637
256;4;0.019379
512;4;0.137144
1024;4;1.068499
2048;4;15.222298
32;8;0.002447
64;8;0.003177
128;8;0.005093
256;8;0.021046
512;8;0.122774
1024;8;0.954221
2048;8;10.786576
32;16;0.059721
64;16;0.051718
128;16;0.059559
256;16;0.072173
512;16;0.162065
1024;16;0.821590
2048;16;8.749053
32;32;0.127422
64;32;0.120129
128;32;0.118037
256;32;0.126775
512;32;0.241395
1024;32;0.814815
2048;32;8.071033
32;2;0.001064
64;2;0.001555
128;2;0.005615
256;2;0.034694
512;2;0.260885
1024;2;2.098086
2048;2;29.861811
32;4;0.003538
64;4;0.002045
128;4;0.004755
256;4;0.020439
512;4;0.137062
1024;4;1.071063
2048;4;15.159190
32;8;0.002758
64;8;0.002577
128;8;0.005317
256;8;0.014202
512;8;0.099824
1024;8;0.603927
2048;8;8.001747
32;16;0.056564
64;16;0.062049
128;16;0.058760
256;16;0.049232
512;16;0.138980
1024;16;0.876439
2048;16;9.652984
32;32;0.131891
64;32;0.147539
128;32;0.120318
256;32;0.163754
512;32;0.240572
1024;32;0.894662
2048;32;9.155683
32;2;0.000932
64;2;0.002168
128;2;0.005175
256;2;0.034367
512;2;0.265462
1024;2;2.153640
2048;2;30.486660
32;4;0.001818
64;4;0.001968
128;4;0.005375
256;4;0.019156
512;4;0.143891
1024;4;1.118282
2048;4;15.502263
32;8;0.002893
64;8;0.007258
128;8;0.006729
256;8;0.020192
512;8;0.123581
1024;8;0.603995
2048;8;8.052388
32;16;0.042748
64;16;0.076009
128;16;0.047314
256;16;0.056336
512;16;0.161731
1024;16;0.911864
2048;16;9.404673
32;32;0.128228
64;32;0.107092
128;32;0.125386
256;32;0.139553
512;32;0.232533
1024;32;0.914887
2048;32;8.589528
32;2;0.000944
64;2;0.001363
128;2;0.005270
256;2;0.034478
512;2;0.279223
1024;2;2.188316
2048;2;29.757547
32;4;0.002466
64;4;0.001861
128;4;0.004679
256;4;0.072505
512;4;0.144235
1024;4;1.119069
2048;4;15.652360
32;8;0.003451
64;8;0.004022
128;8;0.008907
256;8;0.030996
512;8;0.092778
1024;8;0.625176
2048;8;8.254374
32;16;0.071536
64;16;0.038873
128;16;0.042372
256;16;0.059815
512;16;0.161293
1024;16;0.949249
2048;16;9.131964
32;32;0.115641
64;32;0.103901
128;32;0.139611
256;32;0.134471
512;32;0.209237
1024;32;0.930149
2048;32;8.763366
32;2;0.001310
64;2;0.001524
128;2;0.005634
256;2;0.033838
512;2;0.261728
1024;2;2.171898
2048;2;30.120887
32;4;0.001905
64;4;0.001873
128;4;0.004207
256;4;0.021334
512;4;0.139881
1024;4;1.071486
2048;4;15.266959
32;8;0.002659
64;8;0.002949
128;8;0.005303
256;8;0.020422
512;8;0.107070
1024;8;0.610530
2048;8;8.225082
32;16;0.055868
64;16;0.047880
128;16;0.058147
256;16;0.064144
512;16;0.159711
1024;16;0.890603
2048;16;9.390100
32;32;0.111979
64;32;0.144183
128;32;0.097077
256;32;0.152302
512;32;0.248327
1024;32;0.983749
2048;32;8.793865

