Size;Time
32;0.000194 
64;0.001290 
128;0.009377 
256;0.071025 
512;0.617815 
1024;6.488391 
2048;87.467264 
32;0.000181 
64;0.001225 
128;0.009240 
256;0.068945 
512;0.633883 
1024;6.333604 
2048;80.039257 
32;0.000185 
64;0.001270 
128;0.009329 
256;0.069929 
512;0.622879 
1024;6.441887 
2048;79.726868 
32;0.000182 
64;0.001229 
128;0.009261 
256;0.069643 
512;0.635284 
1024;6.344059 
2048;80.756637 
32;0.000203 
64;0.001212 
128;0.009275 
256;0.071864 
512;0.616833 
1024;6.486522 
2048;86.909382 
32;0.000182 
64;0.001250 
128;0.009951 
256;0.070826 
512;0.629429 
1024;6.456060 
2048;82.153644 
32;0.000183 
64;0.001228 
128;0.009167 
256;0.075766 
512;0.628144 
1024;6.408617 
2048;82.872002 
32;0.000183 
64;0.001280 
128;0.009263 
256;0.070167 
512;0.619236 
1024;6.391188 
2048;86.021975 
32;0.000207 
64;0.001332 
128;0.011540 
256;0.074343 
512;0.687748 
1024;6.738558 
2048;84.731549 
32;0.000230 
64;0.001216 
128;0.009322 
256;0.070529 
512;0.628766 
1024;6.601159 
2048;85.559598 

